sample_id,target_name,target_score
288,first_learning_epoch_mapped,49
289,first_learning_epoch_mapped,34
290,first_learning_epoch_mapped,50
291,first_learning_epoch_mapped,45
292,first_learning_epoch_mapped,51
293,first_learning_epoch_mapped,40
294,first_learning_epoch_mapped,38
295,first_learning_epoch_mapped,51
296,first_learning_epoch_mapped,49
297,first_learning_epoch_mapped,51
298,first_learning_epoch_mapped,27
299,first_learning_epoch_mapped,20
300,first_learning_epoch_mapped,51
301,first_learning_epoch_mapped,38
302,first_learning_epoch_mapped,34
303,first_learning_epoch_mapped,47
304,first_learning_epoch_mapped,23
305,first_learning_epoch_mapped,46
306,first_learning_epoch_mapped,51
307,first_learning_epoch_mapped,38
308,first_learning_epoch_mapped,38
309,first_learning_epoch_mapped,48
310,first_learning_epoch_mapped,50
311,first_learning_epoch_mapped,40
312,first_learning_epoch_mapped,34
313,first_learning_epoch_mapped,51
314,first_learning_epoch_mapped,34
315,first_learning_epoch_mapped,51
316,first_learning_epoch_mapped,29
317,first_learning_epoch_mapped,51
318,first_learning_epoch_mapped,26
319,first_learning_epoch_mapped,51
320,first_learning_epoch_mapped,1
321,first_learning_epoch_mapped,32
322,first_learning_epoch_mapped,35
323,first_learning_epoch_mapped,44
324,first_learning_epoch_mapped,51
325,first_learning_epoch_mapped,37
326,first_learning_epoch_mapped,51
327,first_learning_epoch_mapped,46
328,first_learning_epoch_mapped,46
329,first_learning_epoch_mapped,9
330,first_learning_epoch_mapped,50
331,first_learning_epoch_mapped,34
332,first_learning_epoch_mapped,51
333,first_learning_epoch_mapped,30
334,first_learning_epoch_mapped,38
335,first_learning_epoch_mapped,32
336,first_learning_epoch_mapped,42
337,first_learning_epoch_mapped,41
338,first_learning_epoch_mapped,48
339,first_learning_epoch_mapped,32
340,first_learning_epoch_mapped,42
341,first_learning_epoch_mapped,22
342,first_learning_epoch_mapped,50
343,first_learning_epoch_mapped,35
344,first_learning_epoch_mapped,50
345,first_learning_epoch_mapped,12
346,first_learning_epoch_mapped,48
347,first_learning_epoch_mapped,51
348,first_learning_epoch_mapped,17
349,first_learning_epoch_mapped,24
350,first_learning_epoch_mapped,51
351,first_learning_epoch_mapped,34
352,first_learning_epoch_mapped,41
353,first_learning_epoch_mapped,40
354,first_learning_epoch_mapped,50
355,first_learning_epoch_mapped,29
356,first_learning_epoch_mapped,51
357,first_learning_epoch_mapped,42
358,first_learning_epoch_mapped,47
359,first_learning_epoch_mapped,27
360,first_learning_epoch_mapped,47
361,first_learning_epoch_mapped,36
362,first_learning_epoch_mapped,1
363,first_learning_epoch_mapped,10
364,first_learning_epoch_mapped,43
365,first_learning_epoch_mapped,33
366,first_learning_epoch_mapped,45
367,first_learning_epoch_mapped,33
368,first_learning_epoch_mapped,34
369,first_learning_epoch_mapped,35
370,first_learning_epoch_mapped,35
371,first_learning_epoch_mapped,34
372,first_learning_epoch_mapped,28
373,first_learning_epoch_mapped,2
374,first_learning_epoch_mapped,50
375,first_learning_epoch_mapped,40
376,first_learning_epoch_mapped,49
377,first_learning_epoch_mapped,11
378,first_learning_epoch_mapped,43
379,first_learning_epoch_mapped,51
380,first_learning_epoch_mapped,34
381,first_learning_epoch_mapped,41
382,first_learning_epoch_mapped,51
383,first_learning_epoch_mapped,51
384,first_learning_epoch_mapped,49
385,first_learning_epoch_mapped,32
386,first_learning_epoch_mapped,37
387,first_learning_epoch_mapped,51
388,first_learning_epoch_mapped,20
389,first_learning_epoch_mapped,50
390,first_learning_epoch_mapped,47
391,first_learning_epoch_mapped,27
392,first_learning_epoch_mapped,47
393,first_learning_epoch_mapped,35
394,first_learning_epoch_mapped,24
395,first_learning_epoch_mapped,40
396,first_learning_epoch_mapped,51
397,first_learning_epoch_mapped,39
398,first_learning_epoch_mapped,44
399,first_learning_epoch_mapped,34
400,first_learning_epoch_mapped,4
401,first_learning_epoch_mapped,51
402,first_learning_epoch_mapped,50
403,first_learning_epoch_mapped,37
404,first_learning_epoch_mapped,44
405,first_learning_epoch_mapped,49
406,first_learning_epoch_mapped,25
407,first_learning_epoch_mapped,51
408,first_learning_epoch_mapped,2
409,first_learning_epoch_mapped,36
410,first_learning_epoch_mapped,42
411,first_learning_epoch_mapped,34
412,first_learning_epoch_mapped,31
413,first_learning_epoch_mapped,51
414,first_learning_epoch_mapped,13
415,first_learning_epoch_mapped,2
416,first_learning_epoch_mapped,3
417,first_learning_epoch_mapped,51
418,first_learning_epoch_mapped,41
419,first_learning_epoch_mapped,50
420,first_learning_epoch_mapped,31
421,first_learning_epoch_mapped,36
422,first_learning_epoch_mapped,31
423,first_learning_epoch_mapped,34
424,first_learning_epoch_mapped,33
425,first_learning_epoch_mapped,31
426,first_learning_epoch_mapped,45
427,first_learning_epoch_mapped,49
428,first_learning_epoch_mapped,48
429,first_learning_epoch_mapped,41
430,first_learning_epoch_mapped,39
431,first_learning_epoch_mapped,1
432,first_learning_epoch_mapped,35
433,first_learning_epoch_mapped,51
434,first_learning_epoch_mapped,44
435,first_learning_epoch_mapped,35
436,first_learning_epoch_mapped,41
437,first_learning_epoch_mapped,51
438,first_learning_epoch_mapped,50
439,first_learning_epoch_mapped,15
440,first_learning_epoch_mapped,35
441,first_learning_epoch_mapped,51
442,first_learning_epoch_mapped,17
443,first_learning_epoch_mapped,49
444,first_learning_epoch_mapped,32
445,first_learning_epoch_mapped,31
446,first_learning_epoch_mapped,44
447,first_learning_epoch_mapped,50
448,first_learning_epoch_mapped,30
449,first_learning_epoch_mapped,45
450,first_learning_epoch_mapped,51
451,first_learning_epoch_mapped,35
452,first_learning_epoch_mapped,51
453,first_learning_epoch_mapped,51
454,first_learning_epoch_mapped,51
455,first_learning_epoch_mapped,51
456,first_learning_epoch_mapped,33
457,first_learning_epoch_mapped,32
458,first_learning_epoch_mapped,27
459,first_learning_epoch_mapped,51
460,first_learning_epoch_mapped,34
461,first_learning_epoch_mapped,40
462,first_learning_epoch_mapped,48
463,first_learning_epoch_mapped,45
464,first_learning_epoch_mapped,51
465,first_learning_epoch_mapped,27
466,first_learning_epoch_mapped,14
467,first_learning_epoch_mapped,33
468,first_learning_epoch_mapped,51
469,first_learning_epoch_mapped,51
470,first_learning_epoch_mapped,49
471,first_learning_epoch_mapped,26
472,first_learning_epoch_mapped,38
473,first_learning_epoch_mapped,49
