path,kind,bytes,sha256,contains_raw_images_or_weights,redistribution_scope
ANONYMITY_AUDIT.json,metadata_or_document,1727,6af8d9e2bf9768123b8991bf9be77c0b5a69632811c62cf74c45da361dcb3b42,no,documentation_or_derived_values
EXCLUDED_FILES.md,metadata_or_document,786,9dc7635f2d00e5100a223322f2bea7d5ea8ff9abf19558ddca02b5aa4a60523a,no,documentation_or_derived_values
PRE_ADDENDUM_COMMIT.txt,metadata_or_document,312,75ab4b5d92d0897a7ec18c306fc5c50a5b05dc66e6d3abeef2ad3a7355463344,no,documentation_or_derived_values
README.md,metadata_or_document,1981,2cb70340cca9bc57ad43e6e472ee24a17c71bce7a5a5f258bd4d70cacd7b677a,no,documentation_or_derived_values
REPRODUCTION_MATRIX.md,metadata_or_document,2843,cef26d7f9a54ac1f69b14774d49a0102ea87fa4cb96ee10bb3a63a5886195347,no,documentation_or_derived_values
THIRD_PARTY_ATTRIBUTION.md,metadata_or_document,1823,70f57e9160da3cef84e777a17b7dce5a275ff946cd1008d4021b92ae1b78f843,no,documentation_or_derived_values
cifar100_proxy_arrays/README.md,metadata_or_document,1230,3c42adee0fe92dd9acea53524e584ddb1737afbfa990e8bea638ab0cac749b1f,no,documentation_or_derived_values
cifar100_proxy_arrays/arrays/convae_scores.npy,scalar_array,200128,517c34a137bbb63aa22d9754ad8ca3892c0a2075c4d3c732b6c386aa5065d8f2,no,derived_values_only
cifar100_proxy_arrays/arrays/ddim_scores.npy,scalar_array,200128,9ba28caf194edf1e8f4602af8825f77e3cf31615c01a0deef2ff2392acb3b682,no,derived_values_only
cifar100_proxy_arrays/arrays/ddpm_scores.npy,scalar_array,200128,c7ffeaba16c0c53e23ce15c631c065c70d3196a50be1286f830fd7ca0f15299c,no,derived_values_only
